En,NUM,ENTRY,REP,k,ER,PH,GY
1,1,NEC001,1,NEC0011,0.87,20.47,422.75
1,392,NEC001,2,NEC0012,0.93,18.03,475.64
1,780,NEC001,3,NEC0013,0.97,18.7,.
1,2,NEC002,1,NEC0021,0.93,18.4,525.97
1,393,NEC002,2,NEC0022,0.77,16.7,182.28
1,781,NEC002,3,NEC0023,0.97,19.9,742.14
1,3,NEC003,1,NEC0031,0.83,16.27,210.9
1,394,NEC003,2,NEC0032,0.8,15.13,423.74
1,782,NEC003,3,NEC0033,0.27,15.33,336.07
1,4,NEC004,1,NEC0041,0.67,14.07,58.74
1,395,NEC004,2,NEC0042,0.83,12.37,.
1,783,NEC004,3,NEC0043,0.6,12,332.64
1,5,NEC005,1,NEC0051,0.93,15.2,157.81
1,396,NEC005,2,NEC0052,1,12,15.31
1,784,NEC005,3,NEC0053,0.93,11.17,611.21
1,6,NEC006,1,NEC0061,1,14.57,27.11
1,397,NEC006,2,NEC0062,0.97,13.77,13.14
1,785,NEC006,3,NEC0063,1,13.67,166.71
1,7,NEC007,1,NEC0071,0.73,12.7,133.35
1,398,NEC007,2,NEC0072,0.7,12.8,.
1,786,NEC007,3,NEC0073,0.73,12.23,217
1,8,NEC008,1,NEC0081,0.8,16.97,1006
1,399,NEC008,2,NEC0082,0.67,16.87,33.99
1,787,NEC008,3,NEC0083,0.5,15.5,652.97
1,9,NEC009,1,NEC0091,0.8,15.93,170.78
1,400,NEC009,2,NEC0092,0.97,13.7,.
1,788,NEC009,3,NEC0093,0.9,13.23,123.62
1,10,NEC010,1,NEC0101,0.9,14.13,.
1,401,NEC010,2,NEC0102,0.8,13.57,.
1,789,NEC010,3,NEC0103,0.8,14.33,303.98
1,11,NEC011,1,NEC0111,0.9,14.8,419.97
1,402,NEC011,2,NEC0112,0.97,11.33,292.79
1,790,NEC011,3,NEC0113,0.77,13.6,562.42
1,12,NEC012,1,NEC0121,0.87,12.5,.
1,403,NEC012,2,NEC0122,0.67,13.27,77.62
1,791,NEC012,3,NEC0123,0.7,13.33,187.66
1,13,NEC013,1,NEC0131,1,13.53,611.42
1,404,NEC013,2,NEC0132,0.9,13.23,449
1,792,NEC013,3,NEC0133,0.8,11.17,629.11
1,14,NEC014,1,NEC0141,0.83,14.8,1103.49
1,405,NEC014,2,NEC0142,0.73,13.8,.
1,793,NEC014,3,NEC0143,0.86,14.33,403.11
1,15,NEC015,1,NEC0151,0.93,12.7,116.2
1,406,NEC015,2,NEC0152,0.9,14.03,13.29
1,794,NEC015,3,NEC0153,0.9,13.33,252.04
1,16,NEC016,1,NEC0161,0.97,16,471.47
1,407,NEC016,2,NEC0162,0.87,13.9,185.08
1,795,NEC016,3,NEC0163,0.9,15.17,622.97
1,17,NEC017,1,NEC0171,0.9,16.2,.
1,408,NEC017,2,NEC0172,0.9,14.6,753.67
1,796,NEC017,3,NEC0173,0.97,16.67,895.07
1,18,NEC018,1,NEC0181,0.93,14.93,9.9
1,409,NEC018,2,NEC0182,0.8,13.2,109.37
1,797,NEC018,3,NEC0183,0.9,14.33,.
1,19,NEC019,1,NEC0191,0.83,16.27,555.49
1,410,NEC019,2,NEC0192,0.93,16.4,771.04
1,798,NEC019,3,NEC0193,0.87,17,726.15
1,20,NEC020,1,NEC0201,0.63,15.83,766.93
1,411,NEC020,2,NEC0202,0.83,13.43,486.51
1,799,NEC020,3,NEC0203,0.8,14.73,331.38
1,21,NEC021,1,NEC0211,0.57,15.93,293.42
1,412,NEC021,2,NEC0212,0.57,13.57,439.76
1,800,NEC021,3,NEC0213,0.7,14.67,388.05
1,22,NEC022,1,NEC0221,0.9,13.83,394.74
1,413,NEC022,2,NEC0222,0.9,14.3,672.88
1,801,NEC022,3,NEC0223,0.83,16.83,580.78
1,23,NEC023,1,NEC0231,0.23,11.23,530.89
1,414,NEC023,2,NEC0232,0.4,9.87,.
1,802,NEC023,3,NEC0233,0.33,12.17,409.93
1,24,NEC024,1,NEC0241,1,17.73,1046.56
1,415,NEC024,2,NEC0242,0.97,14.57,958.68
1,803,NEC024,3,NEC0243,0.87,15.73,1093.11
1,25,NEC025,1,NEC0251,0.33,9.5,724.31
1,416,NEC025,2,NEC0252,0.7,9.13,425.9
1,804,NEC025,3,NEC0253,0.53,8.5,765.02
1,26,NEC026,1,NEC0261,0.43,16.47,.
1,417,NEC026,2,NEC0262,0.73,11.7,91.66
1,805,NEC026,3,NEC0263,0.87,12.1,762.05
1,27,NEC027,1,NEC0271,0.53,13.67,.
1,418,NEC027,2,NEC0272,0.47,12.4,532.43
1,806,NEC027,3,NEC0273,0.33,12.13,489.66
1,28,NEC028,1,NEC0281,0.93,15.5,42.4
1,419,NEC028,2,NEC0282,0.83,12.53,543.63
1,807,NEC028,3,NEC0283,1,12.73,462.46
1,29,NEC029,1,NEC0291,0.37,11.2,416.48
1,420,NEC029,2,NEC0292,0.37,9.23,601.35
1,808,NEC029,3,NEC0293,0.4,11.1,643.26
1,30,NEC030,1,NEC0301,0.93,15.63,474.6
1,421,NEC030,2,NEC0302,0.7,15.23,472.37
1,809,NEC030,3,NEC0303,1,14.83,539.28
1,31,NEC031,1,NEC0311,0.8,15.33,679.86
1,422,NEC031,2,NEC0312,0.53,11.33,370.33
1,810,NEC031,3,NEC0313,0.63,13.47,477.94
1,32,NEC032,1,NEC0321,1,15.17,381.79
1,423,NEC032,2,NEC0322,0.97,14.67,680.45
1,811,NEC032,3,NEC0323,0.97,14.03,393.51
1,33,NEC033,1,NEC0331,0.97,15.37,805.33
1,424,NEC033,2,NEC0332,0.87,13.5,930.59
1,812,NEC033,3,NEC0333,0.93,14.4,1241.45
1,34,NEC034,1,NEC0341,0.4,12.9,105.24
1,425,NEC034,2,NEC0342,0.83,12.23,253.56
1,813,NEC034,3,NEC0343,0.97,16.27,62.02
1,35,NEC035,1,NEC0351,0.73,16.5,821.91
1,426,NEC035,2,NEC0352,0.8,14.4,1193.06
1,814,NEC035,3,NEC0353,0.8,13.67,1318.09
1,36,NEC037,1,NEC0371,1,22,262.44
1,427,NEC037,2,NEC0372,1,19,972.99
1,815,NEC037,3,NEC0373,0.97,17.73,1089.18
1,37,NEC038,1,NEC0381,0.67,14.67,92.37
1,428,NEC038,2,NEC0382,0.7,13.77,154.64
1,816,NEC038,3,NEC0383,0.93,15.33,217.98
1,38,NEC039,1,NEC0391,0.73,12.67,644.25
1,429,NEC039,2,NEC0392,0.5,9.57,302.94
1,817,NEC039,3,NEC0393,0.73,10.83,222.21
1,39,NEC040,1,NEC0401,0.93,15.77,222.15
1,40,NEC041,1,NEC0411,0.5,18.93,429.02
1,430,NEC041,2,NEC0412,0.73,17.03,654.55
1,818,NEC041,3,NEC0413,0.8,18.17,.
1,41,NEC042.1,1,NEC042.11,0.7,18.03,675.13
1,431,NEC042.1,2,NEC042.12,0.77,15.73,904.57
1,819,NEC042.1,3,NEC042.13,0.87,16.83,597.84
1,390,NEC042.2,1,NEC042.21,0.8,16.07,480.22
1,778,NEC042.2,2,NEC042.22,0.87,15.87,401.59
