<Trait>	CombinedENV
CML161	0.405449507
CML165	0.190992175
CML206	0.438263016
CML247	0.261138727
CML254	0.330294057
CML287	0.077330646
CML300	0.098037893
CML301	0.157140089
CML302	0.213946167
CML303	0.262974503
CML304	0.064538791
CML308	0.19375837
CML309	0.258734769
CML310	0.366714603
CML311	0.382365289
CML312	0.482459697
CML313	0.353660397
CML314	0.264068136
CML315	0.212150365
CML316	0.46526401
CML317	0.465709546
CML318	0.492786292
CML319	0.540464197
CML320	0.411497916
CML321	0.15767602
CML322	0.224180775
CML323	0.254511264
CML324	0.440454582
CML325	0.337528194
CML326	0.489693054
CML327	0.581043382
CML328	0.264137722
CML329	0.721951233
CML330	0.403170148
CML331	0.469484712
CML332	0.372973947
CML333	0.215084473
CML334	0.332601917
CML335	0.361182299
CML336	0.227503492
CML337	0.247141346
CML338	0.321773716
CML339	0.560891349
CML340	0.237048226
CML341	0.408357131
CML342	0.335840402
CML343	0.131977279
CML344	0.325695845
CML345	0.280326283
CML346	0.123040502
CML348	0.198795066
CML357	0.567700772
CML358	0.471007823
CML359	0.437607263
CML360	0.08248054
CML361	0.299093358
CML362	0.095188599
CML363	0.1629571
CML364	0.316974919
CML365	0.248376502
CML366	0.177999491
CML367	0.239784402
CML368	0.243121674
CML369	0.408807068
CML370	0.319876398
CML371	0.410043584
CML372	0.353902091
CML373	0.433406656
CML374	0.361336884
CML375	0.218231443
CML376	0.180574029
CML377	0.274592048
CML378	0.245479343
CML379	0.189807285
CML380	0.499144282
CML381	0.145767852
CML382	0.419309015
CML383	0.465554333
CML384	0.307280755
CML385	0.440275841
CML386	0.451180806
CML387	0.431847265
CML388	0.475478858
CML389	0.502595982
CML390	0.417131702
CML391	0.319545099
CML392	0.180720689
CML393	0.639598912
CML394	0.593994445
CML395	0.47274223
CML396	0.31571945
CML397	0.1471922
CML398	0.214419524
CML399	0.335312581
CML400	0.195266437
CML401	0.426031592
CML402	0.325845524
CML403	0.258276403
CML404	0.230439441
CML405	0.319364744
CML406	0.132421075
CML407	0.26448716
CML408	0.21678577
CML409	0.262175779
CML410	0.228449614
CML411	0.23440414
CML412	0.357452213
CML413	0.200815405
CML414	0.199485444
CML415	0.285011677
CML416	0.164172946
CML417	0.53927495
CML418	0.256869886
CML419	0.144018362
CML420	0.228831814
CML421	0.276576366
