LINE,BLUE_GY,TESTER
10001,153.3452758,209
10002,172.297377,209
10003,165.8184143,209
10004,171.7324407,209
10005,192.6366964,209
10006,160.1519731,209
10007,156.8611589,209
10008,145.1900538,209
10009,160.9525917,209
10010,159.2840206,209
10011,148.2267661,209
10012,167.770064,209
10013,154.2477052,209
10014,139.6418956,209
10015,148.4832601,209
10016,168.5989938,209
10017,162.5272797,209
10018,173.5440869,209
10019,165.9598248,209
10020,163.9826822,209
10021,165.2267579,209
10022,167.639228,209
10023,175.3842757,209
10024,169.8848081,209
10025,140.368805,209
10026,164.2812615,209
10027,153.2964694,209
10028,172.1287077,209
10029,150.3623284,209
10030,175.5465512,209
10031,159.7721013,209
10032,177.2822678,209
10033,159.3536895,209
10034,156.231912,209
10035,164.4052897,209
10036,170.2661291,209
10037,150.240336,209
10038,160.6039054,209
10039,157.0808003,209
10040,149.3796423,209
10041,157.4978102,209
10042,173.2383959,209
10043,149.1349848,209
10044,170.3607034,209
10045,162.9637844,209
10046,171.2391908,209
10047,153.3901283,209
10048,162.1904865,209
10049,171.7531169,209
10050,172.3803936,209
10051,164.8857264,209
10052,167.5508878,209
10053,163.3375183,209
10054,172.0714634,209
10055,156.0557017,209
10056,150.700364,209
10057,165.6556136,209
10058,155.8168915,209
10059,160.1703282,209
10060,146.8361209,209
10061,150.831534,209
10062,165.4067224,209
10063,152.5448787,209
10064,165.7530888,209
10065,163.0507426,209
10066,155.1160638,209
10067,169.3179172,209
10068,173.1592633,209
10069,172.2442989,209
10070,161.625435,209
10071,170.7156064,209
10072,171.2564771,209
10073,168.7348444,209
10074,180.7226101,209
10075,158.205,209
10076,158.8825,209
10077,122.7791829,209
10078,177.4351985,209
10079,133.205,209
10080,160.7675,209
10081,156.1125,209
10082,154.6275,209
10083,160.905,209
10084,145.3275,209
10085,166.8584373,209
10086,149.7775,209
10087,145.55,209
10088,161.065,209
10089,158.0075,209
10090,153.77,209
10091,152.5784216,209
10092,155.175,209
10093,137.5775,209
10094,161.0525,209
10095,135.1725,209
10096,153.6425,209
10097,153.345,209
10098,161.07,209
10099,140.5125,209
10100,170.1125,209
10101,160.3925,209
10102,146.12,209
10103,143.45,209
10104,153.0575,209
10105,163.7425,209
10106,150.2425,209
10107,163.0275,209
10108,146.6525,209
10109,143.4275,209
10110,166.4525,209
10111,148.7275,209
10112,180.3825,209
10113,143.935,209
10114,130.8642447,209
10115,156.5203915,209
10116,132.6195402,209
10117,139.5886254,209
10118,140.132582,209
10119,163.9600326,209
10120,139.9230675,209
10121,156.590213,209
10122,160.1246388,209
10123,144.7088132,209
10124,155.5825,209
10125,147.145,209
10126,153.925,209
10127,146.9625,209
10128,152.5248036,209
10129,167.1450815,209
10130,161.6975,209
10131,155.585,209
10132,137.97,209
10133,155.985,209
10134,164.305,209
10135,145.3975,209
10136,157.1875,209
10137,160.374565,209
